ID Seccion Especie pca_1 pca_2
93 Lobatae laurina 1.553808939264058 2.8470977774304274
94 Lobatae sapotiifolia 10.661399008992843 4.324787301057079
95 Lobatae sartorii 0.767301016849747 1.3818941253942756
96 Quercus deserticola -3.4903988066049902 0.23141336659154108
97 Quercus deserticola -2.680381022657122 -0.4040560300405331
98 Quercus deserticola -3.5434691510378085 -0.6764623640622166
99 Quercus deserticola -3.5359866905003323 -0.7811005175382527
100 Quercus glaucescens 10.562940390643867 3.08954723381377
101 Quercus glaucoides -2.1219728213813935 -1.8991642227453098
102 Quercus glaucoides 3.605135453194951 -5.017573724269877
103 Quercus glaucoides -1.8890262118313752 -1.864563243322164
104 Quercus glaucoides -2.0780251413735495 -1.9253570229322732
105 Quercus greggii -2.680381022657122 -0.4040560300405331
106 Quercus magnoliifolia -3.5434691510378085 -0.6764623640622166
